"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"202503_s_at",7.18844328916516,7.66877786742553,16.1543100215124,1.25657767205724e-20,1.32254799984024e-16,36.6146664445855,"PCLAF","PCNA clamp associated factor"
"212695_at",-2.82876980391629,8.32720395829787,-16.3027373462868,8.76071650309067e-21,1.32254799984024e-16,36.9618791198183,"CRY2","cryptochrome circadian regulator 2"
"201292_at",7.45608726396606,8.38550525555319,14.9698649027825,2.43546865394233e-19,1.02533230330972e-15,33.7513980326532,"TOP2A","DNA topoisomerase II alpha"
"201890_at",7.70402385097964,8.65628487834043,15.0684731060137,1.89150991483385e-19,1.02533230330972e-15,33.9961905458785,"RRM2","ribonucleotide reductase regulatory subunit M2"
"232173_at",-5.65932199593439,4.24409211476596,-15.055303714038,1.9563266539806e-19,1.02533230330972e-15,33.9635666026468,"CLEC2L","C-type lectin domain family 2 member L"
"215244_at",-4.98839998495023,3.81569224719149,-14.6549944391841,5.49988891087011e-19,1.9295443595636e-15,32.9617296247829,"DGCR5","DiGeorge syndrome critical region gene 5"
"229818_at",-7.28634214412896,5.33870123114894,-14.5390402174488,7.44546651439544e-19,2.23895814468606e-15,32.6678256510708,"SVOP","SV2 related protein"
"216073_at",-5.52297668757466,4.03394514187234,-14.4228240230898,1.01021387617716e-18,2.65812526169116e-15,32.3715680982392,"ANKRD34C","ankyrin repeat domain 34C"
"214145_s_at",-4.97844421793213,4.76111052734043,-14.360729911433,1.18987776357993e-18,2.78299188037307e-15,32.2125816645318,"SPTB","spectrin beta, erythrocytic"
"227216_at",-3.13783384823982,4.64419545246809,-14.1941149449688,1.85026119253782e-18,3.89479981029212e-15,31.783568861103,"CARMIL2","capping protein regulator and myosin 1 linker 2"
"213834_at",-4.28303376461765,6.399685549,-14.0896914129802,2.44415917981559e-18,4.3372909609228e-15,31.5128922285329,"IQSEC3","IQ motif and Sec7 domain ArfGEF 3"
